SMILES,tpsa,num_five_six_membered_rings,QED,SAS,Task
CCCOC(=O)c1ccc(O)cc1,46.53,1,0.723052379328443,1.5519820577011316,-4.3899999
O=C(O)c1cc(Cl)ccc1O,57.53,1,0.6786070990602082,1.5960868084457704,-4.98
CC(=O)NCC(=O)NCCc1ccccc1,58.2,1,0.7580258159166628,1.5517638599637156,-4.6597776
CC(=O)N[C@@H](C(=O)NCCc1ccccc1)C(C)C,58.2,1,0.8160845917743487,2.1067082274616276,-4.4610906
CNS(=O)(=O)c1ccc(Cl)cc1,46.17,1,0.7901111999588265,1.5620107921770678,-4.186419
COCCc1ccc(OCC(O)CNC(C)C)cc1,50.72,1,0.7135696186852986,2.3863470797559216,-4.3493013
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,49.33,1,0.7485297142822384,2.5630944800780657,-4.3400002
CC(=O)N[C@H](C)C(=O)NCCc1ccccc1,58.2,1,0.7939132691290626,2.0337978033327477,-4.6095328
CC(=O)N[C@H](CC(C)C)C(=O)NCCc1ccccc1,58.2,1,0.7988196169102514,2.1517562089681412,-4.513246499999998
CCOC(=O)c1ccc(O)cc1,46.53,1,0.67810167363512,1.404842260708536,-4.8102908
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,49.769999999999996,2,0.9057552159605037,2.4542562199252878,-5.0100002
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,40.540000000000006,3,0.759345285057915,2.1227326079667783,-4.71
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,54.37,2,0.8883440640479293,2.863068855603755,-4.3499999
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,43.07,3,0.6634881818264521,2.43275375898782,-4.5500002
O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)c1ccnn1CCc1ccncc1,59.81,3,0.6953498034572527,2.384759969935187,-5.3400002
O=C(Nc1ccc(Cl)cc1)c1ccnn1CCc1ccncc1,59.81,3,0.7811157398646856,2.054387534167864,-5.1590075
CCc1ccc(NC(=O)c2ccnn2CCc2ccncc2)cc1,59.81,3,0.7576006561625924,2.082716540253754,-5.0116143
CC(C)(C)c1ccc(NC(=O)c2ccnn2CCc2ccncc2)cc1,59.81,3,0.7559317168572094,2.184134686968859,-5.1295056
