SMILES,tpsa,num_five_six_membered_rings,QED,SAS,Task
CC(C)(O)C(=O)c1ccc(OCCO)cc1,66.76,1,0.7324594783702677,1.9761949869762372,-1.4699304792
O=C(O)c1ccccc1C(=O)O,74.6,1,0.688908808436835,1.3982973306386075,-1.4245732761
CNS(=O)(=O)c1cc(OC)c(N)cc1OC,90.65,1,0.7402188171325482,2.1323814423813,-3.6510805625
O=C(O)c1cccc(Cl)c1C(=O)O,74.6,1,0.762616540545844,1.7602107907328097,-0.976
COc1cc(/C=C/C(=O)O)cc(OC)c1OC,64.99000000000001,1,0.7923496429747787,1.8655478527435658,-2.830470194
O=C(O)CCP(=O)(O)c1ccccc1,74.6,1,0.7345611530312207,2.8786277861661524,-0.8283051545000001
CC(=O)Nc1ccc(S(=O)(=O)Cl)cc1,63.24,1,0.7891080700227171,1.7086302738418269,-2.8772524161
CCNC(=O)C(C)OC(=O)Nc1ccccc1,67.42999999999999,1,0.8366206479559343,2.1635215349203083,-1.83
COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,64.63,1,0.8346342258225219,1.9346798490688375,-2.9792447784
CCCCNC(=O)NS(=O)(=O)c1ccccc1,75.27000000000001,1,0.7833658637754258,1.74067443781437,-3.05
COC(=O)c1ccc(C(=O)O)cc1,63.60000000000001,1,0.6936576949163602,1.3178212884703662,-2.97
COC(=O)c1c(C)cc(O)c(C)c1O,66.76,1,0.6677929996291397,2.2329652010767536,-4.037430925
NC(=O)CNC(=O)OCc1ccccc1,81.42,1,0.7508982194833603,1.6536012506720486,-1.88
CC(C)(NC(=O)c1ccccc1)C(=O)O,66.4,1,0.7841574108101441,1.7173169649577638,-0.76
CC(=O)NC(COC(=O)c1ccccc1)C(=O)O,92.7,1,0.7402657990663335,2.1978434576648063,-3.22
CC(=O)NC(Cc1ccccc1)C(=O)O,66.4,1,0.7676735501365863,1.9190072966651144,-1.41
COc1cc(C(=O)CO)ccc1O,66.76,1,0.670679711604722,1.8891333763824534,-1.78
CC(=O)C(Oc1ccccc1Cl)C(=O)O,63.60000000000001,1,0.79799166275179,2.559176958954046,-2.1
O=C(O)CSC(CC(=O)O)c1ccccc1,74.6,1,0.7952861423675238,2.5932791686453136,-1.55
COC(=O)c1cc(O)c(OC)c(O)c1,75.99000000000001,1,0.69003676572479,2.085054806066358,-1.6
CC(=O)Nc1ccc(S(=O)(=O)CCO)cc1,83.47,1,0.8019753459050356,1.844849727584469,-2.3069323017
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,86.63000000000001,1,0.6942784889376881,2.143971403154991,0.01
COS(=O)(=O)c1ccc(C(=O)O)cc1,80.67,1,0.752739640712294,1.8461412925528435,-3.05
N#CCCNC(Cc1ccccc1)C(=O)O,73.12,1,0.703210082750011,2.3473346231907684,-1.49
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,74.68,1,0.8330157421148819,1.8544426086828896,-4.02
O=C(O)C=CC(=O)Nc1ccccc1,66.39999999999999,1,0.7067187053574726,1.6598166803666938,-2.72
CC(=O)NC(CSc1ccc(Cl)c(Cl)c1)C(=O)O,66.4,1,0.8208171531130328,2.5439406122958896,-2.89
CC(=O)NC(CSc1c(Cl)cccc1Cl)C(=O)O,66.4,1,0.8208171531130328,2.6720809969112747,-2.31
CC(C(=O)O)S(=O)(=O)c1ccccc1,71.44,1,0.8121483415468335,2.2675175443453846,-0.89
CC(O)C(NC(=O)c1ccccc1)C(=O)O,86.63000000000001,1,0.6825263092157341,2.2661982985201004,-1.23
O=C(O)CSC(C(=O)O)c1ccccc1,74.6,1,0.7977354514228799,2.486767146571305,-1.23
CC(CC(=O)Nc1ccccc1)C(=O)O,66.4,1,0.7897529413882469,2.0664924749015103,0.39
COC(C)C(NC(=O)c1ccccc1)C(=O)O,75.63,1,0.7975525249292292,2.4966639044289867,-1.74
COc1ccc(C)cc1S(N)(=O)=O,69.39,1,0.7634028204586725,1.6978583020450237,-1.53
CC(C(N)=O)S(=O)(=O)c1ccccc1,77.23,1,0.7857730294925245,2.431059332287173,-1.64
COc1cccc(OCC(O)CO)c1OC,68.15,1,0.7389288525619191,2.306015532281677,-3.0
CN(C)c1ccc(C(=O)O)cc1C(=O)O,77.84,1,0.7802581587980878,1.8721473199873504,-2.02
CC(C)(NC(=O)c1ccccc1)C(=O)NCC(=O)O,95.50000000000001,1,0.7167915108844244,1.9574417037055127,-0.56
CC(=O)Nc1ccc(OP(=O)(O)O)cc1,95.86,1,0.6770761850081789,1.939990811111608,0.13
CN(CCO)C(=O)COC(=O)c1ccccc1,66.84,1,0.7475865326210308,1.7413903134281181,-1.09
O=C(O)CC(CSC(=O)O)c1ccccc1,74.6,1,0.827149274433961,2.8989298679460127,-1.24
CC(=O)CC(=O)Nc1ccc(NC(=O)CC(C)=O)cc1,92.34,1,0.7703940897357474,1.9016234876991298,-3.1275010898000004
